2017-11-08 10:24:22,429 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FazlaysaPaylas:FazlaysaPaylas:0.0.1-SNAPSHOT @ C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\pom.xml.
2017-11-08 10:24:23,380 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 10:24:23,380 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\main\resources
2017-11-08 10:24:23,380 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-08 10:24:23,380 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\src\test\resources
2017-11-08 10:24:23,396 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FazlaysaPaylas/src
2017-11-08 10:24:23,396 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FazlaysaPaylas/src/test/java because it overlaps with /FazlaysaPaylas/src
2017-11-08 10:24:23,770 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-11-08 10:24:23,833 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FazlaysaPaylas:FazlaysaPaylas:0.0.1-SNAPSHOT @ C:\Users\ibadet.ozdemir\workspaceproje\FazlaysaPaylas\pom.xml.
2017-11-08 10:24:23,973 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FazlaysaPaylas/src
2017-11-08 10:24:23,973 [Worker-13] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FazlaysaPaylas/src/test/java because it overlaps with /FazlaysaPaylas/src
